scenario,severity,method,average_slowdown,p95_completion_time,utilization,task_failure_rate,degradation_pct
observation_noise,high,PG proxy,"8.436 [6.797, 10.698]","83.141 [76.629, 88.484]","0.372 [0.279, 0.437]","0.487 [0.392, 0.618]","41.333 [23.158, 60.847]"
observation_noise,low,DQN,"5.034 [4.723, 5.329]","80.188 [79.269, 81.088]","0.491 [0.476, 0.505]","0.292 [0.285, 0.299]","59.575 [50.287, 68.275]"
observation_noise,low,Heuristic,"5.720 [5.663, 5.783]","47.584 [47.106, 48.044]","0.525 [0.523, 0.527]","0.343 [0.340, 0.347]","35.584 [34.241, 37.083]"
observation_noise,low,PG proxy,"7.302 [5.515, 9.832]","79.525 [71.059, 86.616]","0.407 [0.302, 0.482]","0.430 [0.324, 0.573]","17.435 [5.632, 30.676]"
observation_noise,medium,DQN,"5.109 [4.863, 5.353]","79.938 [79.331, 80.581]","0.482 [0.468, 0.494]","0.302 [0.296, 0.308]","62.004 [54.573, 69.831]"
observation_noise,medium,Heuristic,"6.089 [6.013, 6.164]","48.603 [47.709, 49.475]","0.514 [0.511, 0.517]","0.362 [0.357, 0.366]","44.338 [42.544, 46.125]"
observation_noise,medium,PG proxy,"7.600 [5.771, 10.095]","80.475 [72.565, 87.037]","0.401 [0.299, 0.475]","0.443 [0.336, 0.587]","22.472 [11.636, 35.367]"
reward_corruption,high,DQN,"14.125 [12.118, 15.967]","81.416 [75.187, 87.325]","0.194 [0.100, 0.295]","0.775 [0.658, 0.883]","349.633 [282.413, 412.227]"
reward_corruption,high,Heuristic,"4.219 [4.219, 4.219]","40.250 [40.250, 40.250]","0.566 [0.566, 0.566]","0.240 [0.240, 0.240]","0.000 [0.000, 0.000]"
reward_corruption,high,PG proxy,"12.520 [9.248, 15.385]","80.325 [68.198, 90.450]","0.201 [0.085, 0.342]","0.726 [0.555, 0.871]","135.152 [54.137, 214.208]"
reward_corruption,low,DQN,"5.332 [4.270, 6.522]","85.281 [78.319, 91.816]","0.527 [0.493, 0.555]","0.267 [0.232, 0.309]","69.709 [35.708, 108.837]"
reward_corruption,low,Heuristic,"4.219 [4.219, 4.219]","40.250 [40.250, 40.250]","0.566 [0.566, 0.566]","0.240 [0.240, 0.240]","0.000 [0.000, 0.000]"
reward_corruption,low,PG proxy,"6.726 [4.714, 9.474]","73.625 [64.522, 81.502]","0.456 [0.324, 0.555]","0.400 [0.276, 0.564]","7.567 [-11.729, 30.427]"
reward_corruption,medium,DQN,"10.272 [8.943, 11.551]","86.669 [84.334, 89.006]","0.328 [0.274, 0.381]","0.565 [0.499, 0.630]","226.117 [182.828, 268.799]"
reward_corruption,medium,Heuristic,"4.219 [4.219, 4.219]","40.250 [40.250, 40.250]","0.566 [0.566, 0.566]","0.240 [0.240, 0.240]","0.000 [0.000, 0.000]"
reward_corruption,medium,PG proxy,"7.256 [3.839, 11.285]","76.975 [69.350, 85.251]","0.409 [0.248, 0.547]","0.429 [0.239, 0.653]","18.113 [-28.072, 80.521]"
