scenario,severity,severity_rank,seed,method,method_label,allocate_rate,defer_rate,reject_rate,allocate_count,defer_count,reject_count,total_actions
duration_misreport,low,1,5,psaim_lite,Simplified PSAIM,0.796875,0.00390625,0.19921875,612.0,3.0,153.0,768.0
duration_misreport,medium,2,5,heuristic_sjf_bestfit,SJF best-fit heuristic,0.9166666666666666,0.08333333333333333,0.0,704.0,64.0,0.0,768.0
duration_misreport,medium,2,5,psaim_lite,Simplified PSAIM,0.83984375,0.0026041666666666665,0.15755208333333334,645.0,2.0,121.0,768.0
duration_misreport,high,3,5,heuristic_sjf_bestfit,SJF best-fit heuristic,0.9166666666666666,0.08333333333333333,0.0,704.0,64.0,0.0,768.0
duration_misreport,high,3,5,psaim_lite,Simplified PSAIM,0.84375,0.0,0.15625,648.0,0.0,120.0,768.0
clean,clean,0,6,heuristic_sjf_bestfit,SJF best-fit heuristic,0.9166666666666666,0.08333333333333333,0.0,704.0,64.0,0.0,768.0
clean,clean,0,6,psaim_lite,Simplified PSAIM,0.8059895833333334,0.00390625,0.19010416666666666,619.0,3.0,146.0,768.0
duration_misreport,low,1,6,heuristic_sjf_bestfit,SJF best-fit heuristic,0.9270833333333334,0.07291666666666667,0.0,712.0,56.0,0.0,768.0
duration_misreport,low,1,6,psaim_lite,Simplified PSAIM,0.8307291666666666,0.0026041666666666665,0.16666666666666666,638.0,2.0,128.0,768.0
duration_misreport,medium,2,6,heuristic_sjf_bestfit,SJF best-fit heuristic,0.9166666666666666,0.08333333333333333,0.0,704.0,64.0,0.0,768.0
duration_misreport,medium,2,6,psaim_lite,Simplified PSAIM,0.83984375,0.0026041666666666665,0.15755208333333334,645.0,2.0,121.0,768.0
duration_misreport,high,3,6,heuristic_sjf_bestfit,SJF best-fit heuristic,0.9166666666666666,0.08333333333333333,0.0,704.0,64.0,0.0,768.0
duration_misreport,high,3,6,psaim_lite,Simplified PSAIM,0.8411458333333334,0.0026041666666666665,0.15625,646.0,2.0,120.0,768.0
clean,clean,0,7,heuristic_sjf_bestfit,SJF best-fit heuristic,0.9166666666666666,0.08333333333333333,0.0,704.0,64.0,0.0,768.0
clean,clean,0,7,psaim_lite,Simplified PSAIM,0.7981770833333334,0.0026041666666666665,0.19921875,613.0,2.0,153.0,768.0
duration_misreport,low,1,7,heuristic_sjf_bestfit,SJF best-fit heuristic,0.9270833333333334,0.07291666666666667,0.0,712.0,56.0,0.0,768.0
duration_misreport,low,1,7,psaim_lite,Simplified PSAIM,0.8411458333333334,0.0026041666666666665,0.15625,646.0,2.0,120.0,768.0
duration_misreport,medium,2,7,heuristic_sjf_bestfit,SJF best-fit heuristic,0.9166666666666666,0.08333333333333333,0.0,704.0,64.0,0.0,768.0
duration_misreport,medium,2,7,psaim_lite,Simplified PSAIM,0.7903645833333334,0.00390625,0.20572916666666666,607.0,3.0,158.0,768.0
duration_misreport,high,3,7,heuristic_sjf_bestfit,SJF best-fit heuristic,0.9166666666666666,0.08333333333333333,0.0,704.0,64.0,0.0,768.0
duration_misreport,high,3,7,psaim_lite,Simplified PSAIM,0.8411458333333334,0.0026041666666666665,0.15625,646.0,2.0,120.0,768.0
clean,clean,0,8,heuristic_sjf_bestfit,SJF best-fit heuristic,0.9166666666666666,0.08333333333333333,0.0,704.0,64.0,0.0,768.0
clean,clean,0,8,psaim_lite,Simplified PSAIM,0.8346354166666666,0.01171875,0.15364583333333334,641.0,9.0,118.0,768.0
duration_misreport,low,1,8,heuristic_sjf_bestfit,SJF best-fit heuristic,0.9270833333333334,0.07291666666666667,0.0,712.0,56.0,0.0,768.0
duration_misreport,low,1,8,psaim_lite,Simplified PSAIM,0.8424479166666666,0.0026041666666666665,0.15494791666666666,647.0,2.0,119.0,768.0
