average_slowdown,mean_completion_time,p95_completion_time,utilization,task_failure_rate,tasks_arrived,tasks_failed,experiment,scenario,severity,method,method_label,seed,degradation_pct,agent_r_int,agent_V_epi,agent_V_ale,agent_V_ale_excess,agent_gate_h3,agent_pg_loss
4.218576388888889,14.010416666666666,40.25,0.5657552083333334,0.23958333333333334,96.0,23.0,reward_corruption_training_sweep,reward_corruption_training,low,heuristic_sjf_bestfit,SJF best-fit heuristic,1,0.0,,,,,,
3.6319444444444446,13.71875,73.5,0.546875,0.21875,96.0,21.0,reward_corruption_training_sweep,reward_corruption_training,low,deeprm_inspired_pg,PG proxy,1,20.631991696459483,,,,,,
4.207942708333333,15.2890625,73.375,0.49886067708333337,0.2799479166666667,96.0,26.875,reward_corruption_training_sweep,reward_corruption_training,low,plain_dqn,DQN,1,38.7362892897262,,,,,,
3.6313802083333333,13.65625,73.875,0.5506998697916667,0.21744791666666666,96.0,20.875,reward_corruption_training_sweep,reward_corruption_training,low,dqn_rnd,DQN+RND,1,16.957895325430552,0.0,,,,,
3.0604383680555554,11.4296875,65.28125,0.591064453125,0.17838541666666669,96.0,17.125,reward_corruption_training_sweep,reward_corruption_training,low,psaim_lite,Simplified PSAIM,1,-1.6548347954643794,0.011541866618920087,0.04312401183757572,0.04745398089289665,0.0034039821475744247,0.4411577550237294,
4.218576388888889,14.010416666666666,40.25,0.5657552083333334,0.23958333333333334,96.0,23.0,reward_corruption_training_sweep,reward_corruption_training,medium,heuristic_sjf_bestfit,SJF best-fit heuristic,1,0.0,,,,,,
4.807118055555556,15.229166666666666,81.0,0.546875,0.22916666666666666,96.0,22.0,reward_corruption_training_sweep,reward_corruption_training,medium,deeprm_inspired_pg,PG proxy,1,59.66439856994582,,,,,,
11.401844618055556,35.876302083333336,79.46875,0.17220052083333334,0.7122395833333333,96.0,68.375,reward_corruption_training_sweep,reward_corruption_training,medium,plain_dqn,DQN,1,275.91995020141246,,,,,,
14.160264756944443,42.94401041666667,83.8125,0.125,0.8346354166666667,96.0,80.125,reward_corruption_training_sweep,reward_corruption_training,medium,dqn_rnd,DQN+RND,1,356.0675743681503,0.008724619809555937,,,,,
10.884635416666667,32.916666666666664,81.1875,0.298095703125,0.6419270833333333,96.0,61.625,reward_corruption_training_sweep,reward_corruption_training,medium,psaim_lite,Simplified PSAIM,1,249.7705686271775,0.007612007610439753,0.02405859801570052,0.0901612238958478,0.002831411547958851,0.9318053875999892,
