average_slowdown,mean_completion_time,p95_completion_time,utilization,task_failure_rate,tasks_arrived,tasks_failed,experiment,scenario,severity,method,method_label,seed,degradation_pct,agent_r_int,agent_V_epi,agent_V_ale,agent_V_ale_excess,agent_gate_h3,agent_pg_loss,adaptation_lag_steps
4.218576388888889,14.010416666666666,40.25,0.5657552083333334,0.2395833333333333,96.0,23.0,reward_corruption_training_sweep,clean,clean,heuristic_sjf_bestfit,SJF best-fit heuristic,0,0.0,,,,,,,
4.957118055555555,19.010416666666668,85.0,0.4342447916666667,0.3125,96.0,30.0,reward_corruption_training_sweep,clean,clean,deeprm_inspired_pg,PG proxy,0,0.0,,,,,,,
3.044596354166666,11.42578125,65.5625,0.590087890625,0.1796875,96.0,17.25,reward_corruption_training_sweep,clean,clean,plain_dqn,DQN,0,0.0,,,,,,,
3.683355034722222,13.55078125,75.875,0.56591796875,0.2083333333333333,96.0,20.0,reward_corruption_training_sweep,clean,clean,dqn_rnd,DQN+RND,0,0.0,0.0,,,,,,
3.051649305555556,11.432291666666666,64.8125,0.5921223958333334,0.1796875,96.0,17.25,reward_corruption_training_sweep,clean,clean,psaim_lite,Simplified PSAIM,0,0.0,0.014169910286892,0.0198870514661547,0.0316522410139441,0.0,0.7120508929636878,,
4.218576388888889,14.010416666666666,40.25,0.5657552083333334,0.2395833333333333,96.0,23.0,reward_corruption_training_sweep,reward_corruption_training,low,heuristic_sjf_bestfit,SJF best-fit heuristic,0,0.0,,,,,,,
6.736979166666667,19.98958333333333,62.25,0.537109375,0.3645833333333333,96.0,35.0,reward_corruption_training_sweep,reward_corruption_training,low,deeprm_inspired_pg,PG proxy,0,35.905158827443714,,,,,,,
4.124457465277778,15.795572916666666,77.5,0.472900390625,0.2643229166666666,96.0,25.375,reward_corruption_training_sweep,reward_corruption_training,low,plain_dqn,DQN,0,35.46812074557185,,,,,,,
5.305447048611112,17.697916666666664,83.0625,0.5257161458333333,0.30078125,96.0,28.875,reward_corruption_training_sweep,reward_corruption_training,low,dqn_rnd,DQN+RND,0,44.03843774487567,0.0,,,,,,
3.0422960069444445,11.451822916666668,65.75,0.589599609375,0.1783854166666666,96.0,17.125,reward_corruption_training_sweep,reward_corruption_training,low,psaim_lite,Simplified PSAIM,0,-0.3064997866590741,0.0095356541512965,0.0165769908099404,0.042205998674035,0.0,0.5710049007451363,,
4.218576388888889,14.010416666666666,40.25,0.5657552083333334,0.2395833333333333,96.0,23.0,reward_corruption_training_sweep,reward_corruption_training,medium,heuristic_sjf_bestfit,SJF best-fit heuristic,0,0.0,,,,,,,
