method,seed,switch_index,adaptation_lag_steps
plain_dqn,2,7,18.5
plain_dqn,2,8,10.5
dqn_rnd,2,1,11.0
dqn_rnd,2,2,19.0
dqn_rnd,2,3,14.333333333333334
dqn_rnd,2,4,13.0
dqn_rnd,2,5,14.0
dqn_rnd,2,6,19.0
dqn_rnd,2,7,20.0
dqn_rnd,2,8,15.0
psaim_lite,2,1,18.0
psaim_lite,2,2,16.0
psaim_lite,2,3,13.5
psaim_lite,2,4,8.0
psaim_lite,2,5,16.333333333333332
psaim_lite,2,6,9.0
psaim_lite,2,7,18.5
psaim_lite,2,8,10.5
psaim_no_aleatoric,2,1,13.5
psaim_no_aleatoric,2,2,17.666666666666668
psaim_no_aleatoric,2,3,15.5
psaim_no_aleatoric,2,4,15.0
psaim_no_aleatoric,2,5,21.0
psaim_no_aleatoric,2,6,8.0
psaim_no_aleatoric,2,7,18.0
psaim_no_aleatoric,2,8,14.5
psaim_no_gate,2,1,13.5
psaim_no_gate,2,2,17.0
psaim_no_gate,2,3,14.0
psaim_no_gate,2,4,16.5
psaim_no_gate,2,5,13.5
psaim_no_gate,2,6,12.0
psaim_no_gate,2,7,18.0
psaim_no_gate,2,8,14.5
psaim_no_freezing,2,1,13.5
psaim_no_freezing,2,2,20.0
psaim_no_freezing,2,3,14.666666666666666
psaim_no_freezing,2,4,11.333333333333334
psaim_no_freezing,2,5,22.0
psaim_no_freezing,2,6,11.0
psaim_no_freezing,2,7,18.5
psaim_no_freezing,2,8,11.5
heuristic_sjf_bestfit,3,1,13.666666666666666
heuristic_sjf_bestfit,3,2,16.0
heuristic_sjf_bestfit,3,3,15.0
heuristic_sjf_bestfit,3,4,14.5
heuristic_sjf_bestfit,3,5,11.0
heuristic_sjf_bestfit,3,6,8.5
heuristic_sjf_bestfit,3,7,7.5
heuristic_sjf_bestfit,3,8,19.0
deeprm_inspired_pg,3,1,12.0
deeprm_inspired_pg,3,2,14.5
deeprm_inspired_pg,3,3,13.0
deeprm_inspired_pg,3,4,15.0
deeprm_inspired_pg,3,5,16.0
deeprm_inspired_pg,3,6,9.0
deeprm_inspired_pg,3,7,13.0
deeprm_inspired_pg,3,8,9.5
plain_dqn,3,1,11.5
plain_dqn,3,2,10.0
plain_dqn,3,3,5.0
plain_dqn,3,4,15.0
plain_dqn,3,5,9.5
plain_dqn,3,6,8.5
plain_dqn,3,7,12.0
plain_dqn,3,8,16.5
dqn_rnd,3,1,14.666666666666666
dqn_rnd,3,2,7.666666666666667
dqn_rnd,3,3,14.333333333333334
dqn_rnd,3,4,12.0
dqn_rnd,3,5,9.0
dqn_rnd,3,6,9.0
dqn_rnd,3,7,17.5
dqn_rnd,3,8,14.0
psaim_lite,3,1,12.5
psaim_lite,3,2,7.0
psaim_lite,3,3,8.0
psaim_lite,3,4,14.5
psaim_lite,3,5,13.666666666666666
psaim_lite,3,6,12.0
psaim_lite,3,7,7.5
psaim_lite,3,8,19.5
psaim_no_aleatoric,3,1,12.0
psaim_no_aleatoric,3,2,15.0
psaim_no_aleatoric,3,3,12.5
psaim_no_aleatoric,3,4,15.0
psaim_no_aleatoric,3,5,10.5
psaim_no_aleatoric,3,6,10.5
psaim_no_aleatoric,3,7,12.0
psaim_no_aleatoric,3,8,15.0
psaim_no_gate,3,1,11.5
psaim_no_gate,3,2,9.0
psaim_no_gate,3,3,5.0
psaim_no_gate,3,4,15.0
psaim_no_gate,3,5,13.0
psaim_no_gate,3,6,9.0
psaim_no_gate,3,7,11.0
psaim_no_gate,3,8,14.666666666666666
psaim_no_freezing,3,1,14.333333333333334
psaim_no_freezing,3,2,6.0
psaim_no_freezing,3,3,15.333333333333334
psaim_no_freezing,3,4,6.5
psaim_no_freezing,3,5,16.0
psaim_no_freezing,3,6,10.0
psaim_no_freezing,3,7,21.0
psaim_no_freezing,3,8,14.0
heuristic_sjf_bestfit,4,1,10.5
heuristic_sjf_bestfit,4,2,21.666666666666668
heuristic_sjf_bestfit,4,3,15.0
heuristic_sjf_bestfit,4,4,2.5
heuristic_sjf_bestfit,4,5,11.5
heuristic_sjf_bestfit,4,6,20.666666666666668
heuristic_sjf_bestfit,4,7,6.5
heuristic_sjf_bestfit,4,8,17.0
deeprm_inspired_pg,4,1,15.0
deeprm_inspired_pg,4,2,21.0
deeprm_inspired_pg,4,3,14.5
deeprm_inspired_pg,4,4,10.5
deeprm_inspired_pg,4,5,1.0
deeprm_inspired_pg,4,6,20.5
deeprm_inspired_pg,4,7,8.0
deeprm_inspired_pg,4,8,16.666666666666668
plain_dqn,4,1,10.0
plain_dqn,4,2,8.5
plain_dqn,4,3,10.5
plain_dqn,4,4,6.666666666666667
plain_dqn,4,5,12.5
plain_dqn,4,6,19.5
plain_dqn,4,7,7.0
plain_dqn,4,8,16.0
dqn_rnd,4,1,13.5
dqn_rnd,4,2,16.0
dqn_rnd,4,3,16.333333333333332
dqn_rnd,4,4,11.666666666666666
dqn_rnd,4,5,4.333333333333333
dqn_rnd,4,6,21.0
dqn_rnd,4,7,8.0
dqn_rnd,4,8,16.0
psaim_lite,4,1,11.5
psaim_lite,4,2,9.0
psaim_lite,4,3,10.5
psaim_lite,4,4,2.0
psaim_lite,4,5,11.0
psaim_lite,4,6,19.5
psaim_lite,4,7,6.5
psaim_lite,4,8,10.0
psaim_no_aleatoric,4,1,7.0
psaim_no_aleatoric,4,2,14.0
psaim_no_aleatoric,4,3,12.666666666666666
psaim_no_aleatoric,4,4,3.0
psaim_no_aleatoric,4,5,8.0
psaim_no_aleatoric,4,6,21.5
psaim_no_aleatoric,4,7,6.0
psaim_no_aleatoric,4,8,15.5
psaim_no_gate,4,1,6.5
psaim_no_gate,4,2,13.5
psaim_no_gate,4,3,11.5
psaim_no_gate,4,4,3.0
psaim_no_gate,4,5,1.5
psaim_no_gate,4,6,20.0
psaim_no_gate,4,7,6.5
psaim_no_gate,4,8,15.0
psaim_no_freezing,4,1,11.5
psaim_no_freezing,4,2,19.0
psaim_no_freezing,4,3,11.5
psaim_no_freezing,4,4,2.5
psaim_no_freezing,4,5,8.0
psaim_no_freezing,4,6,20.0
psaim_no_freezing,4,7,6.0
psaim_no_freezing,4,8,15.0
heuristic_sjf_bestfit,5,1,21.0
heuristic_sjf_bestfit,5,2,17.0
heuristic_sjf_bestfit,5,3,12.666666666666666
heuristic_sjf_bestfit,5,4,4.0
heuristic_sjf_bestfit,5,5,18.5
heuristic_sjf_bestfit,5,6,18.0
heuristic_sjf_bestfit,5,7,21.0
heuristic_sjf_bestfit,5,8,17.333333333333332
deeprm_inspired_pg,5,1,11.0
deeprm_inspired_pg,5,2,20.5
deeprm_inspired_pg,5,3,9.333333333333334
deeprm_inspired_pg,5,4,7.5
deeprm_inspired_pg,5,5,15.0
deeprm_inspired_pg,5,6,15.0
deeprm_inspired_pg,5,7,15.0
deeprm_inspired_pg,5,8,9.5
plain_dqn,5,1,22.0
plain_dqn,5,2,17.5
plain_dqn,5,3,11.0
plain_dqn,5,4,13.0
plain_dqn,5,5,19.0
plain_dqn,5,6,19.5
plain_dqn,5,7,21.0
dqn_rnd,5,1,12.0
dqn_rnd,5,2,15.333333333333334
dqn_rnd,5,3,6.0
dqn_rnd,5,4,6.666666666666667
dqn_rnd,5,5,12.0
dqn_rnd,5,6,19.0
dqn_rnd,5,7,15.5
dqn_rnd,5,8,18.0
psaim_lite,5,1,21.0
psaim_lite,5,2,19.0
psaim_lite,5,3,10.0
psaim_lite,5,4,13.0
psaim_lite,5,5,20.0
psaim_lite,5,6,20.5
psaim_lite,5,7,14.5
psaim_lite,5,8,18.0
psaim_no_aleatoric,5,1,22.0
psaim_no_aleatoric,5,2,15.666666666666666
psaim_no_aleatoric,5,3,9.666666666666666
psaim_no_aleatoric,5,4,13.0
psaim_no_aleatoric,5,5,20.5
psaim_no_aleatoric,5,6,19.5
psaim_no_aleatoric,5,7,21.0
psaim_no_gate,5,1,13.5
psaim_no_gate,5,2,19.0
psaim_no_gate,5,3,8.5
psaim_no_gate,5,4,13.0
psaim_no_gate,5,5,11.5
psaim_no_gate,5,6,19.0
psaim_no_gate,5,7,15.0
psaim_no_gate,5,8,18.0
psaim_no_freezing,5,1,21.5
psaim_no_freezing,5,2,18.0
psaim_no_freezing,5,3,10.333333333333334
psaim_no_freezing,5,4,13.0
psaim_no_freezing,5,5,9.0
psaim_no_freezing,5,6,18.5
psaim_no_freezing,5,7,15.5
psaim_no_freezing,5,8,15.0
heuristic_sjf_bestfit,6,1,12.5
heuristic_sjf_bestfit,6,2,13.0
heuristic_sjf_bestfit,6,3,16.0
heuristic_sjf_bestfit,6,4,7.0
heuristic_sjf_bestfit,6,5,16.5
heuristic_sjf_bestfit,6,6,8.5
heuristic_sjf_bestfit,6,7,11.5
heuristic_sjf_bestfit,6,8,17.333333333333332
deeprm_inspired_pg,6,1,12.0
deeprm_inspired_pg,6,2,10.0
deeprm_inspired_pg,6,3,17.0
deeprm_inspired_pg,6,4,7.0
deeprm_inspired_pg,6,5,16.5
deeprm_inspired_pg,6,6,7.5
deeprm_inspired_pg,6,7,9.5
deeprm_inspired_pg,6,8,15.5
plain_dqn,6,1,9.0
plain_dqn,6,2,8.0
plain_dqn,6,3,5.0
plain_dqn,6,4,14.0
plain_dqn,6,5,7.333333333333333
plain_dqn,6,6,2.6666666666666665
plain_dqn,6,7,6.333333333333333
plain_dqn,6,8,6.333333333333333
dqn_rnd,6,1,13.0
dqn_rnd,6,2,15.666666666666666
dqn_rnd,6,3,21.333333333333332
dqn_rnd,6,4,18.5
dqn_rnd,6,5,17.0
dqn_rnd,6,6,8.5
dqn_rnd,6,7,7.0
dqn_rnd,6,8,20.333333333333332
