average_slowdown,mean_completion_time,p95_completion_time,utilization,task_failure_rate,tasks_arrived,tasks_failed,method,seed,condition,adaptation_lag_steps,agent_r_int,agent_V_epi,agent_V_ale,agent_V_ale_excess,agent_gate_h3
1.0,3.0,3.0,0.25,0.020833333333333332,48.0,1.0,heuristic_sjf_bestfit,0,clean,,,,,,
3.4733332085247444,10.445357033009682,37.462500000000006,0.393310546875,0.20373647306687404,90.25,18.75,heuristic_sjf_bestfit,0,stressed,14.291666666666666,,,,,
1.0,3.0,3.0,0.25,0.020833333333333332,48.0,1.0,deeprm_inspired_pg,0,clean,,,,,,
4.21732302712749,11.802787446349399,46.21875000000001,0.3902180989583333,0.23395787303337842,90.25,21.5,deeprm_inspired_pg,0,stressed,13.083333333333334,,,,,
1.1137152777777777,3.3411458333333335,3.0,0.248046875,0.028645833333333332,48.0,1.375,plain_dqn,0,clean,,,,,,
5.777050471923191,15.86757003474467,58.84999999999998,0.3326009114583333,0.35040633369364316,90.25,32.125,plain_dqn,0,stressed,12.875,,,,,
1.0859375,3.2578125,3.0,0.24869791666666666,0.026041666666666664,48.0,1.25,dqn_rnd,0,clean,,0.0,,,,
4.233611473774993,11.836834951475756,49.71875,0.385498046875,0.24382130153409748,90.25,22.375,dqn_rnd,0,stressed,14.854166666666668,0.0,,,,
1.1762152777777777,3.528645833333333,3.0,0.248046875,0.028645833333333332,48.0,1.375,psaim_lite,0,clean,,0.007583952261603051,0.007946340660763747,0.04664403945207596,0.0,0.9543955621044485
3.972163016041769,11.170289102809424,38.562500000000014,0.39794921875,0.22578779365910914,90.25,20.75,psaim_lite,0,stressed,15.229166666666668,-0.17437957786872604,0.08148223242887696,0.0828580716624856,0.01366741955280304,0.6026777973349833
1.0008680555555556,3.002604166666667,3.0,0.25,0.020833333333333332,48.0,1.0,psaim_no_aleatoric,0,clean,,0.007603431810384571,0.007966900438104744,0.0,0.0,0.9543776616083031
4.27659953054245,11.98185324790488,50.931250000000006,0.38313802083333337,0.24978028504322652,90.25,22.875,psaim_no_aleatoric,0,stressed,13.1875,0.06377628757161148,0.07239994736260377,0.0,0.0,0.8832189085937263
1.15625,3.46875,3.0,0.24869791666666669,0.026041666666666664,48.0,1.25,psaim_no_gate,0,clean,,0.007919849388524856,0.007919849388524856,0.04692144691944122,0.0,1.0
4.208981933131982,11.946009051462582,48.23750000000001,0.38338216145833337,0.2516984238776792,90.25,23.0,psaim_no_gate,0,stressed,15.3125,-0.32958929380316765,0.06888306770986416,0.07934625167399645,0.007325519807636738,1.0
1.1006944444444444,3.302083333333333,3.0,0.24869791666666666,0.026041666666666664,48.0,1.25,psaim_no_freezing,0,clean,,0.007285010513031218,0.007879605990957408,0.04793337732553482,8.625537157058716e-05,0.954453618979377
4.23861909672709,11.813998631319965,47.16875000000002,0.38623046875,0.23867238976048621,90.25,21.875,psaim_no_freezing,0,stressed,15.291666666666668,0.013431989407980462,0.09167509574237168,0.06866828259080648,0.006383900530636311,0.8203771761758336
1.0,3.0,3.0,0.25,0.020833333333333332,48.0,1.0,heuristic_sjf_bestfit,1,clean,,,,,,
1.9833587995543793,6.426040332550938,20.318749999999994,0.375732421875,0.11030825368694477,75.375,8.625,heuristic_sjf_bestfit,1,stressed,15.020833333333332,,,,,
1.0,3.0,3.0,0.25,0.020833333333333332,48.0,1.0,deeprm_inspired_pg,1,clean,,,,,,
2.9553409397283685,8.382616851903647,29.381249999999994,0.3545735677083333,0.17046288279477567,75.375,13.25,deeprm_inspired_pg,1,stressed,11.8125,,,,,
1.0407986111111112,3.122395833333333,3.08125,0.24934895833333331,0.0234375,48.0,1.125,plain_dqn,1,clean,,,,,,
2.8850753807863443,8.077409900205707,28.05625,0.3623860677083333,0.15408523524452752,75.375,12.125,plain_dqn,1,stressed,13.25,,,,,
1.0642361111111112,3.1927083333333335,3.0,0.24869791666666669,0.026041666666666664,48.0,1.25,dqn_rnd,1,clean,,0.0,,,,
2.6294907261351,7.591925926694303,18.8375,0.37101236979166663,0.13868575400836364,75.375,10.875,dqn_rnd,1,stressed,14.354166666666666,0.0,,,,
1.0008680555555556,3.002604166666667,3.0,0.25,0.020833333333333332,48.0,1.0,psaim_lite,1,clean,,0.007220017665227337,0.007562376774775251,0.044950563460588455,0.0,0.9547286362814039
2.877961404626319,8.212411185700649,26.324999999999996,0.3557942708333333,0.162610430196278,75.375,12.75,psaim_lite,1,stressed,14.4375,-0.13617786860962594,0.05856759639838713,0.08464131969958544,0.015753211453557014,0.7340015657034358
1.2126736111111112,3.638020833333333,3.0,0.24739583333333331,0.031249999999999997,48.0,1.5,psaim_no_aleatoric,1,clean,,0.007240187697289236,0.00758364932530519,0.0,0.0,0.9547102439362685
3.17222749050141,8.994423987476786,33.51249999999999,0.3492838541666667,0.17734577275600427,75.375,13.875,psaim_no_aleatoric,1,stressed,13.8125,0.12589907509029624,0.15788400780931724,0.0,0.0,0.6898905613007837
