average_slowdown,mean_completion_time,p95_completion_time,utilization,task_failure_rate,tasks_arrived,tasks_failed,experiment,scenario,severity,severity_rank,method,method_label,seed
5.028450520833333,17.43359375,68.0,0.5016276041666667,0.30859375,96.0,29.625,c5_duration_misreport_mechanism,duration_misreport,medium,2,sjf_r_0p10,SJF-R(0.10),1
5.313975694444444,18.912760416666668,79.5625,0.460693359375,0.3255208333333333,96.0,31.25,c5_duration_misreport_mechanism,duration_misreport,medium,2,sjf_r_0p17,SJF-R(0.17),1
5.103493923611111,18.475260416666668,79.6875,0.461181640625,0.3216145833333333,96.0,30.875,c5_duration_misreport_mechanism,duration_misreport,medium,2,sjf_r_0p18,SJF-R(0.18),1
5.4623046875000005,19.80598958333333,84.875,0.4405110677083333,0.34375,96.0,33.0,c5_duration_misreport_mechanism,duration_misreport,medium,2,sjf_r_0p25,SJF-R(0.25),1
3.0892578125,11.537760416666668,65.5,0.5909830729166667,0.1809895833333333,96.0,17.375,c5_duration_misreport_mechanism,duration_misreport,medium,2,psaim_lite,Simplified PSAIM,1
3.1178385416666665,11.6484375,66.25,0.5900065104166667,0.1809895833333333,96.0,17.375,c5_duration_misreport_mechanism,duration_misreport,medium,2,psaim_rawvar,PSAIM-RawVar,1
6.061979166666667,18.375,44.5,0.5475260416666666,0.3541666666666667,96.0,34.0,c5_duration_misreport_mechanism,duration_misreport,high,3,heuristic_sjf_bestfit,SJF best-fit heuristic,1
5.374153645833333,18.069010416666664,64.53125,0.5042317708333333,0.3138020833333333,96.0,30.125,c5_duration_misreport_mechanism,duration_misreport,high,3,sjf_r_0p10,SJF-R(0.10),1
5.045355902777779,18.01953125,74.875,0.478515625,0.30859375,96.0,29.625,c5_duration_misreport_mechanism,duration_misreport,high,3,sjf_r_0p17,SJF-R(0.17),1
5.341384548611111,19.248697916666668,80.09375,0.4581705729166667,0.3294270833333333,96.0,31.625,c5_duration_misreport_mechanism,duration_misreport,high,3,sjf_r_0p18,SJF-R(0.18),1
5.2861328125,19.221354166666668,82.4375,0.4459635416666666,0.3372395833333333,96.0,32.375,c5_duration_misreport_mechanism,duration_misreport,high,3,sjf_r_0p25,SJF-R(0.25),1
3.058723958333333,11.467447916666666,65.5,0.591064453125,0.1809895833333333,96.0,17.375,c5_duration_misreport_mechanism,duration_misreport,high,3,psaim_lite,Simplified PSAIM,1
