severity,comparison,metric,paired_diff_mean_ci,status
low,Simplified PSAIM - SJF-R(0.17),average_slowdown,"-1.486 [-1.726, -1.243]",PSAIM lower
low,Simplified PSAIM - SJF-R(0.17),task_failure_rate,"-0.105 [-0.120, -0.090]",PSAIM lower
medium,Simplified PSAIM - SJF-R(0.17),average_slowdown,"-2.025 [-2.127, -1.907]",PSAIM lower
medium,Simplified PSAIM - SJF-R(0.17),task_failure_rate,"-0.137 [-0.145, -0.126]",PSAIM lower
high,Simplified PSAIM - SJF-R(0.17),average_slowdown,"-1.890 [-2.076, -1.699]",PSAIM lower
high,Simplified PSAIM - SJF-R(0.17),task_failure_rate,"-0.124 [-0.135, -0.111]",PSAIM lower
