episode,regime,action,V_epi,V_ale,V_ale_excess,gate_h3,r_int,action_type,eval_episode,experiment,scenario,severity,method,method_label,seed,raw_var
30.0,high_entropy,5.0,0.1237436867076458,0.0877165496349334,0.035851914435625,0.9046926825039808,-0.0863652981532589,defer,0,c5_signal_separation,alternating_hidden_regime,clean,psaim_lite,Simplified PSAIM,0,
31.0,high_entropy,0.0,0.0384174909963916,0.0797388479113578,0.0075859203934669,0.8964856956137025,-0.0123082020330594,allocate,0,c5_signal_separation,alternating_hidden_regime,clean,psaim_lite,Simplified PSAIM,0,
32.0,high_entropy,0.0,0.0430820218427664,0.0701915845274925,0.0,0.889099974471415,0.0383042245205806,allocate,0,c5_signal_separation,alternating_hidden_regime,clean,psaim_lite,Simplified PSAIM,0,
33.0,high_entropy,0.0,0.0609271795844942,0.0878998935222625,0.0157469660043716,0.89832077491112,-0.0398300876894612,allocate,0,c5_signal_separation,alternating_hidden_regime,clean,psaim_lite,Simplified PSAIM,0,
34.0,high_entropy,0.0,0.052174919474995,0.0790135189890861,0.0068605914711952,0.8886956807998798,0.0008971592867479,allocate,0,c5_signal_separation,alternating_hidden_regime,clean,psaim_lite,Simplified PSAIM,0,
35.0,high_entropy,1.0,0.0546608166610121,0.0836751833558082,0.0065761655569076,0.8940538148172469,0.0073551057498894,allocate,0,c5_signal_separation,alternating_hidden_regime,clean,psaim_lite,Simplified PSAIM,0,
36.0,high_entropy,0.0,0.0463586324972765,0.0793730691075325,0.0072201415896415,0.8940538148172469,-0.0041021296246206,allocate,0,c5_signal_separation,alternating_hidden_regime,clean,psaim_lite,Simplified PSAIM,0,
37.0,high_entropy,0.0,0.0673575314054563,0.0829470306634903,0.0107941031455993,0.9066014697001812,0.0011789834299942,allocate,0,c5_signal_separation,alternating_hidden_regime,clean,psaim_lite,Simplified PSAIM,0,
38.0,high_entropy,0.0,0.0463586324972765,0.0793730691075325,0.0072201415896415,0.8841072269224464,-0.0088042581719477,allocate,0,c5_signal_separation,alternating_hidden_regime,clean,psaim_lite,Simplified PSAIM,0,
39.0,high_entropy,0.0,0.0463586324972765,0.0793730691075325,0.0072201415896415,0.6662015058935165,-0.1103431750408151,allocate,0,c5_signal_separation,alternating_hidden_regime,clean,psaim_lite,Simplified PSAIM,0,
40.0,high_entropy,0.0,0.0463586324972765,0.0793730691075325,0.0072201415896415,0.6662015058935166,-0.1103431750408151,allocate,0,c5_signal_separation,alternating_hidden_regime,clean,psaim_lite,Simplified PSAIM,0,
41.0,high_entropy,4.0,0.0824957911384305,0.0840561389923095,0.0247699953615665,0.6973784946750873,-0.3615428524525679,allocate,0,c5_signal_separation,alternating_hidden_regime,clean,psaim_lite,Simplified PSAIM,0,
42.0,high_entropy,2.0,0.2474873734152916,0.0,0.0,0.7888645206298937,0.1952340081912054,allocate,0,c5_signal_separation,alternating_hidden_regime,clean,psaim_lite,Simplified PSAIM,0,
43.0,high_entropy,0.0,0.0463586324972765,0.0793730691075325,0.0072201415896415,0.7941682766108865,-0.0510520254034575,allocate,0,c5_signal_separation,alternating_hidden_regime,clean,psaim_lite,Simplified PSAIM,0,
44.0,high_entropy,0.0,0.0609271795844942,0.0878998935222625,0.0157469660043716,0.7668306833606499,-0.1658682551346884,allocate,0,c5_signal_separation,alternating_hidden_regime,clean,psaim_lite,Simplified PSAIM,0,
45.0,high_entropy,5.0,0.175,0.0904717370867729,0.0386071018874645,0.8857565328468181,-0.0986010598831245,defer,0,c5_signal_separation,alternating_hidden_regime,clean,psaim_lite,Simplified PSAIM,0,
46.0,high_entropy,0.0,0.0415373580367848,0.0858084037899971,0.0136554762721061,0.8550850663085322,-0.0809255966014938,allocate,0,c5_signal_separation,alternating_hidden_regime,clean,psaim_lite,Simplified PSAIM,0,
47.0,low_entropy,3.0,0.0848874687627165,0.0772314369678497,0.0102853327989578,0.8873600918393124,0.0066065152618538,allocate,0,c5_signal_separation,alternating_hidden_regime,clean,psaim_lite,Simplified PSAIM,0,
48.0,low_entropy,0.0,0.0463586324972765,0.0793730691075325,0.0072201415896415,0.7696694475697796,-0.0624768495976609,allocate,0,c5_signal_separation,alternating_hidden_regime,clean,psaim_lite,Simplified PSAIM,0,
49.0,low_entropy,5.0,0.1322875655532295,0.0841802656650543,0.0323156304657459,0.8095918126004032,-0.2410809592315817,defer,0,c5_signal_separation,alternating_hidden_regime,clean,psaim_lite,Simplified PSAIM,0,
50.0,low_entropy,0.0,0.0415373580367848,0.0858084037899971,0.0136554762721061,0.8022950505880789,-0.1244382006681255,allocate,0,c5_signal_separation,alternating_hidden_regime,clean,psaim_lite,Simplified PSAIM,0,
51.0,low_entropy,5.0,0.175,0.0904717370867729,0.0386071018874645,0.8967094622813767,-0.073278241045448,defer,0,c5_signal_separation,alternating_hidden_regime,clean,psaim_lite,Simplified PSAIM,0,
52.0,low_entropy,0.0,0.0463586324972765,0.0793730691075325,0.0072201415896415,0.8967094622813767,-0.0028456897775782,allocate,0,c5_signal_separation,alternating_hidden_regime,clean,psaim_lite,Simplified PSAIM,0,
