average_slowdown,mean_completion_time,p95_completion_time,utilization,task_failure_rate,tasks_arrived,tasks_failed,experiment,scenario,severity,severity_rank,method,method_label,seed,condition,degradation_pct,agent_r_int,agent_V_epi,agent_V_ale,agent_V_ale_excess,agent_gate_h3
14.370833333333334,42.859375,83.09375,0.196044921875,0.76953125,96.0,73.875,reward_corruption_robustness,reward_corruption,high,3,psaim_lite,Simplified PSAIM,2,stressed,292.8199409175574,0.0284166555021749,0.0404366340766257,0.0927180824801325,0.00256650429219,0.9388621575759616
4.218576388888889,14.010416666666666,40.25,0.5657552083333334,0.2395833333333333,96.0,23.0,reward_corruption_robustness,clean,clean,0,heuristic_sjf_bestfit,SJF best-fit heuristic,3,clean,0.0,,,,,
3.889409722222222,12.666666666666666,47.0,0.6009114583333334,0.1979166666666666,96.0,19.0,reward_corruption_robustness,clean,clean,0,deeprm_inspired_pg,PG proxy,3,clean,0.0,,,,,
3.5899522569444446,13.5390625,73.0625,0.55078125,0.2161458333333333,96.0,20.75,reward_corruption_robustness,clean,clean,0,plain_dqn,DQN,3,clean,0.0,,,,,
3.792578125,13.278645833333334,72.375,0.5795084635416666,0.2174479166666666,96.0,20.875,reward_corruption_robustness,clean,clean,0,dqn_rnd,DQN+RND,3,clean,0.0,0.0,,,,
3.010525173611111,11.377604166666666,64.75,0.588623046875,0.1770833333333333,96.0,17.0,reward_corruption_robustness,clean,clean,0,psaim_lite,Simplified PSAIM,3,clean,0.0,0.0097464005755072,0.0153937487705188,0.0382669530808925,0.0,0.6300976984178512
4.218576388888889,14.010416666666666,40.25,0.5657552083333334,0.2395833333333333,96.0,23.0,reward_corruption_robustness,reward_corruption,high,3,heuristic_sjf_bestfit,SJF best-fit heuristic,3,stressed,0.0,,,,,
17.66111111111111,52.5,94.5,0.0,1.0,96.0,96.0,reward_corruption_robustness,reward_corruption,high,3,deeprm_inspired_pg,PG proxy,3,stressed,354.08204258358256,,,,,
17.479296875,52.01822916666667,93.84375,0.0076497395833333,0.98828125,96.0,94.875,reward_corruption_robustness,reward_corruption,high,3,plain_dqn,DQN,3,stressed,386.8949675079341,,,,,
15.62575954861111,46.89583333333333,83.6875,0.143798828125,0.7955729166666667,96.0,76.375,reward_corruption_robustness,reward_corruption,high,3,dqn_rnd,DQN+RND,3,stressed,312.00890353738225,0.0,,,,
17.62165798611111,52.37109375,94.375,0.0025227864583333,0.9973958333333334,96.0,95.75,reward_corruption_robustness,reward_corruption,high,3,psaim_lite,Simplified PSAIM,3,stressed,485.3350153180753,0.00876476462377,0.0118119278735994,0.0879639834165573,0.0008380264043807,0.9509098772195628
4.218576388888889,14.010416666666666,40.25,0.5657552083333334,0.2395833333333333,96.0,23.0,reward_corruption_robustness,clean,clean,0,heuristic_sjf_bestfit,SJF best-fit heuristic,4,clean,0.0,,,,,
4.797569444444444,14.520833333333334,28.5,0.5891927083333334,0.2291666666666666,96.0,22.0,reward_corruption_robustness,clean,clean,0,deeprm_inspired_pg,PG proxy,4,clean,0.0,,,,,
3.5037760416666663,13.03515625,75.75,0.5712076822916667,0.19921875,96.0,19.125,reward_corruption_robustness,clean,clean,0,plain_dqn,DQN,4,clean,0.0,,,,,
3.6884331597222224,13.66015625,72.25,0.5609537760416667,0.21484375,96.0,20.625,reward_corruption_robustness,clean,clean,0,dqn_rnd,DQN+RND,4,clean,0.0,0.0,,,,
3.584830729166667,13.419270833333334,73.875,0.5624186197916666,0.2096354166666666,96.0,20.125,reward_corruption_robustness,clean,clean,0,psaim_lite,Simplified PSAIM,4,clean,0.0,0.0120076469449474,0.015253043115131,0.0388512341305613,0.0,0.7767756143228507
4.218576388888889,14.010416666666666,40.25,0.5657552083333334,0.2395833333333333,96.0,23.0,reward_corruption_robustness,reward_corruption,high,3,heuristic_sjf_bestfit,SJF best-fit heuristic,4,stressed,0.0,,,,,
17.074131944444446,50.8125,84.5,0.107421875,0.8541666666666666,96.0,82.0,reward_corruption_robustness,reward_corruption,high,3,deeprm_inspired_pg,PG proxy,4,stressed,255.89129333429835,,,,,
17.608116319444445,52.33463541666667,94.375,0.0025227864583333,0.9973958333333334,96.0,95.75,reward_corruption_robustness,reward_corruption,high,3,plain_dqn,DQN,4,stressed,402.5468554510883,,,,,
17.265538194444442,51.28515625,89.1875,0.0694173177083333,0.9192708333333334,96.0,88.25,reward_corruption_robustness,reward_corruption,high,3,dqn_rnd,DQN+RND,4,stressed,368.0995275442301,0.0,,,,
6.813823784722223,19.678385416666664,56.8125,0.5577799479166666,0.3541666666666667,96.0,34.0,reward_corruption_robustness,reward_corruption,high,3,psaim_lite,Simplified PSAIM,4,stressed,90.07379425990834,-0.0023054499505561,0.0303091692246407,0.1034011719748377,0.0088602062314748,0.9345322009909072
